obamacare no_augmentation 1 mlm
Breitbart
{'eval_loss': 1.7702716588974, 'eval_runtime': 4.6874, 'eval_samples_per_second': 385.073, 'eval_steps_per_second': 48.214, 'epoch': 17.0}
{'eval_loss': 1.7194559574127197, 'eval_runtime': 4.6904, 'eval_samples_per_second': 384.825, 'eval_steps_per_second': 48.183, 'epoch': 18.0}
{'train_runtime': 3008.4511, 'train_samples_per_second': 95.91, 'train_steps_per_second': 5.995, 'train_loss': 1.5057370068889997, 'epoch': 18.0}
Fox
{'eval_loss': 2.026902675628662, 'eval_runtime': 2.1009, 'eval_samples_per_second': 349.847, 'eval_steps_per_second': 43.79, 'epoch': 1.0}
{'eval_loss': 1.9410632848739624, 'eval_runtime': 2.1104, 'eval_samples_per_second': 348.273, 'eval_steps_per_second': 43.593, 'epoch': 2.0}
{'eval_loss': 2.108255386352539, 'eval_runtime': 2.1099, 'eval_samples_per_second': 348.354, 'eval_steps_per_second': 43.603, 'epoch': 3.0}
{'eval_loss': 1.9616752862930298, 'eval_runtime': 2.1096, 'eval_samples_per_second': 348.415, 'eval_steps_per_second': 43.611, 'epoch': 4.0}
{'eval_loss': 1.9740432500839233, 'eval_runtime': 2.1099, 'eval_samples_per_second': 348.351, 'eval_steps_per_second': 43.603, 'epoch': 5.0}
{'eval_loss': 1.9823607206344604, 'eval_runtime': 2.1109, 'eval_samples_per_second': 348.19, 'eval_steps_per_second': 43.583, 'epoch': 6.0}
{'eval_loss': 1.9702343940734863, 'eval_runtime': 2.1097, 'eval_samples_per_second': 348.394, 'eval_steps_per_second': 43.608, 'epoch': 7.0}
{'eval_loss': 1.9459751844406128, 'eval_runtime': 2.1093, 'eval_samples_per_second': 348.458, 'eval_steps_per_second': 43.617, 'epoch': 8.0}
{'eval_loss': 1.8994042873382568, 'eval_runtime': 2.1093, 'eval_samples_per_second': 348.455, 'eval_steps_per_second': 43.616, 'epoch': 9.0}
{'eval_loss': 1.8580135107040405, 'eval_runtime': 2.1076, 'eval_samples_per_second': 348.735, 'eval_steps_per_second': 43.651, 'epoch': 10.0}
{'eval_loss': 1.956468939781189, 'eval_runtime': 2.1087, 'eval_samples_per_second': 348.557, 'eval_steps_per_second': 43.629, 'epoch': 11.0}
