obamacare no_augmentation 1 mlm
NPR
{'eval_loss': 1.716489315032959, 'eval_runtime': 3.4273, 'eval_samples_per_second': 352.462, 'eval_steps_per_second': 44.058, 'epoch': 16.0}
{'eval_loss': 1.753864049911499, 'eval_runtime': 3.4235, 'eval_samples_per_second': 352.858, 'eval_steps_per_second': 44.107, 'epoch': 17.0}
{'eval_loss': 1.7262189388275146, 'eval_runtime': 3.4257, 'eval_samples_per_second': 352.629, 'eval_steps_per_second': 44.079, 'epoch': 18.0}
{'train_runtime': 2746.15, 'train_samples_per_second': 80.366, 'train_steps_per_second': 5.027, 'train_loss': 1.5987427341373317, 'epoch': 18.0}
wallstreet
{'eval_loss': 2.2643637657165527, 'eval_runtime': 1.1583, 'eval_samples_per_second': 351.379, 'eval_steps_per_second': 44.03, 'epoch': 1.0}
{'eval_loss': 2.2407095432281494, 'eval_runtime': 1.1722, 'eval_samples_per_second': 347.201, 'eval_steps_per_second': 43.507, 'epoch': 2.0}
{'eval_loss': 2.1465978622436523, 'eval_runtime': 1.1649, 'eval_samples_per_second': 349.4, 'eval_steps_per_second': 43.782, 'epoch': 3.0}
{'eval_loss': 2.0945653915405273, 'eval_runtime': 1.1678, 'eval_samples_per_second': 348.532, 'eval_steps_per_second': 43.674, 'epoch': 4.0}
{'eval_loss': 2.1515426635742188, 'eval_runtime': 1.1628, 'eval_samples_per_second': 350.024, 'eval_steps_per_second': 43.861, 'epoch': 5.0}
{'eval_loss': 1.9953312873840332, 'eval_runtime': 1.1663, 'eval_samples_per_second': 348.958, 'eval_steps_per_second': 43.727, 'epoch': 6.0}
{'eval_loss': 2.135728597640991, 'eval_runtime': 1.1635, 'eval_samples_per_second': 349.806, 'eval_steps_per_second': 43.833, 'epoch': 7.0}
{'eval_loss': 2.190117120742798, 'eval_runtime': 1.1498, 'eval_samples_per_second': 353.965, 'eval_steps_per_second': 44.354, 'epoch': 8.0}
{'eval_loss': 2.2212088108062744, 'eval_runtime': 1.1573, 'eval_samples_per_second': 351.686, 'eval_steps_per_second': 44.069, 'epoch': 9.0}
{'eval_loss': 2.075707197189331, 'eval_runtime': 1.1735, 'eval_samples_per_second': 346.833, 'eval_steps_per_second': 43.461, 'epoch': 10.0}
{'eval_loss': 2.021152973175049, 'eval_runtime': 1.1606, 'eval_samples_per_second': 350.688, 'eval_steps_per_second': 43.944, 'epoch': 11.0}
{'eval_loss': 2.2142138481140137, 'eval_runtime': 1.1643, 'eval_samples_per_second': 349.565, 'eval_steps_per_second': 43.803, 'epoch': 12.0}
{'eval_loss': 2.188403606414795, 'eval_runtime': 1.1593, 'eval_samples_per_second': 351.073, 'eval_steps_per_second': 43.992, 'epoch': 13.0}
{'eval_loss': 2.1266674995422363, 'eval_runtime': 1.161, 'eval_samples_per_second': 350.548, 'eval_steps_per_second': 43.926, 'epoch': 14.0}
{'eval_loss': 2.0918378829956055, 'eval_runtime': 1.1567, 'eval_samples_per_second': 351.87, 'eval_steps_per_second': 44.092, 'epoch': 15.0}
{'eval_loss': 2.029109001159668, 'eval_runtime': 1.1398, 'eval_samples_per_second': 357.083, 'eval_steps_per_second': 44.745, 'epoch': 16.0}
{'eval_loss': 2.2821154594421387, 'eval_runtime': 1.1486, 'eval_samples_per_second': 354.332, 'eval_steps_per_second': 44.4, 'epoch': 17.0}
{'eval_loss': 2.050222158432007, 'eval_runtime': 1.1494, 'eval_samples_per_second': 354.091, 'eval_steps_per_second': 44.37, 'epoch': 18.0}
{'train_runtime': 611.9666, 'train_samples_per_second': 88.328, 'train_steps_per_second': 5.53, 'train_loss': 1.69625544266216, 'epoch': 18.0}
washington
{'eval_loss': 1.914780855178833, 'eval_runtime': 8.0047, 'eval_samples_per_second': 243.232, 'eval_steps_per_second': 30.482, 'epoch': 1.0}
{'eval_loss': 1.9022303819656372, 'eval_runtime': 8.0136, 'eval_samples_per_second': 242.963, 'eval_steps_per_second': 30.448, 'epoch': 2.0}
{'eval_loss': 1.9000078439712524, 'eval_runtime': 8.0039, 'eval_samples_per_second': 243.256, 'eval_steps_per_second': 30.485, 'epoch': 3.0}
{'eval_loss': 1.8900244235992432, 'eval_runtime': 7.9888, 'eval_samples_per_second': 243.717, 'eval_steps_per_second': 30.543, 'epoch': 4.0}
{'eval_loss': 1.894640564918518, 'eval_runtime': 8.0225, 'eval_samples_per_second': 242.693, 'eval_steps_per_second': 30.414, 'epoch': 5.0}
{'eval_loss': 1.8146445751190186, 'eval_runtime': 8.0178, 'eval_samples_per_second': 242.833, 'eval_steps_per_second': 30.432, 'epoch': 6.0}
{'eval_loss': 1.8324894905090332, 'eval_runtime': 8.0072, 'eval_samples_per_second': 243.155, 'eval_steps_per_second': 30.472, 'epoch': 7.0}
{'eval_loss': 1.810565710067749, 'eval_runtime': 8.0092, 'eval_samples_per_second': 243.095, 'eval_steps_per_second': 30.465, 'epoch': 8.0}
{'eval_loss': 1.792581558227539, 'eval_runtime': 8.5781, 'eval_samples_per_second': 226.972, 'eval_steps_per_second': 28.444, 'epoch': 9.0}
{'eval_loss': 1.7632899284362793, 'eval_runtime': 8.3197, 'eval_samples_per_second': 234.023, 'eval_steps_per_second': 29.328, 'epoch': 10.0}
{'eval_loss': 1.7889244556427002, 'eval_runtime': 8.3483, 'eval_samples_per_second': 233.222, 'eval_steps_per_second': 29.228, 'epoch': 11.0}
{'eval_loss': 1.7666736841201782, 'eval_runtime': 8.365, 'eval_samples_per_second': 232.757, 'eval_steps_per_second': 29.169, 'epoch': 12.0}
{'eval_loss': 1.745615005493164, 'eval_runtime': 8.3586, 'eval_samples_per_second': 232.933, 'eval_steps_per_second': 29.191, 'epoch': 13.0}
{'eval_loss': 1.7785465717315674, 'eval_runtime': 8.3455, 'eval_samples_per_second': 233.299, 'eval_steps_per_second': 29.237, 'epoch': 14.0}
{'eval_loss': 1.7300755977630615, 'eval_runtime': 8.3404, 'eval_samples_per_second': 233.443, 'eval_steps_per_second': 29.255, 'epoch': 15.0}
{'eval_loss': 1.7331006526947021, 'eval_runtime': 8.357, 'eval_samples_per_second': 232.978, 'eval_steps_per_second': 29.197, 'epoch': 16.0}
{'eval_loss': 1.7473150491714478, 'eval_runtime': 8.354, 'eval_samples_per_second': 233.062, 'eval_steps_per_second': 29.208, 'epoch': 17.0}
{'eval_loss': 1.7193504571914673, 'eval_runtime': 8.3513, 'eval_samples_per_second': 233.136, 'eval_steps_per_second': 29.217, 'epoch': 18.0}
{'train_runtime': 3794.0527, 'train_samples_per_second': 68.597, 'train_steps_per_second': 4.289, 'train_loss': 1.6111381178174164, 'epoch': 18.0}
